iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,PMLS:0,49.040699,-123.644925,Metridium senile,1968-08-01T13:00:00,,,short plumose anemone,,
Alcyonium,338004,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,,Alcyoniidae,,,Alcyonium,,PMLS:1,49.040699,-123.644925,Alcyonium sp.?,1968-08-01T13:00:00,collected,,orange soft coral,,
Pteraster tesselatus,194701,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,,Pterasteridae,,,Pteraster,Pteraster tesselatus,PMLS:2,49.040699,-123.644925,Pteraster tesselatus,1968-08-01T13:00:00,collected,,slime star,,
Henricia aspera aspera,1265168,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,Henricia aspera,PMLS:3,49.040699,-123.644925,Henricia aspera aspera,1968-08-01T13:00:00,,,ridged blood star,,
Gorgonocephalus eucnemis,465153,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Euryalida,,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,Gorgonocephalus eucnemis,PMLS:4,49.040699,-123.644925,Gorgonocephalus eucnemis,1968-08-01T13:00:00,collected,,basket star,,
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,PMLS:5,49.040699,-123.644925,Florometra serratissima,1968-08-01T13:00:00,collected,,feather star,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:6,49.040699,-123.644925,Sebastes caurinus,1968-08-01T13:00:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:7,49.040699,-123.644925,Sebastes maliger,1968-08-01T13:00:00,,,quillback rockfish,,
Sebastes ruberrimus,63695,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes ruberrimus,PMLS:8,49.040699,-123.644925,Sebastes ruberrimus,1968-08-01T13:00:00,,,yelloweye rockfish,,
Sebastes nigrocinctus,230757,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes nigrocinctus,PMLS:9,49.040699,-123.644925,Sebastes nigrocinctus,1968-08-01T13:00:00,collected,,tiger rockfish,,
Hexagrammos decagrammus,68596,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,PMLS:10,49.040699,-123.644925,Hexagrammos decagrammus,1968-08-01T13:00:00,,,kelp greenling,,
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,PMLS:11,49.040699,-123.644925,Ophiodon elongatus,1968-08-01T13:00:00,,,lingcod,,
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,PMLS:12,49.040699,-123.644925,Metridium senile,1968-08-02T13:00:00,,,short plumose anemone,,
Cribrinopsis fernaldi,465158,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis fernaldi,PMLS:13,49.040699,-123.644925,Cribrinopsis fernaldi,1968-08-02T13:00:00,,,crimson anemone,,
Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,PMLS:14,49.040699,-123.644925,Balanophyllia elegans,1968-08-02T13:00:00,,,orange cup coral,,
Alcyonium,338004,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,,Alcyoniidae,,,Alcyonium,,PMLS:15,49.040699,-123.644925,Alcyonium sp.,1968-08-02T13:00:00,collected,,red soft coral,,
Ptilosarcus gurneyi,448320,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,,Pennatulidae,,,Ptilosarcus,Ptilosarcus gurneyi,PMLS:16,49.040699,-123.644925,Ptilosarcus gurneyi,1968-08-02T13:00:00,,,orange sea pen,,
Balanus glandula,81610,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,Balanus glandula,PMLS:17,49.040699,-123.644925,Balanus glandula/Balanus crenatus,1968-08-02T13:00:00,,,common acorn barnacles,,
Stylasterias forreri,255883,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Stylasterias,Stylasterias forreri,PMLS:18,49.040699,-123.644925,Stylasterias forreri,1968-08-02T13:00:00,,,velcro star,,
Gorgonocephalus eucnemis,465153,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Euryalida,,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,Gorgonocephalus eucnemis,PMLS:19,49.040699,-123.644925,Gorgonocephalus eucnemis,1968-08-02T13:00:00,collected,,basket star,,
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,PMLS:20,49.040699,-123.644925,Florometra serratissima,1968-08-02T13:00:00,collected,,feather star,,
Ascidia paratropa,415129,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,Ascidia paratropa,PMLS:21,49.040699,-123.644925,Ascidia paratropa,1968-08-02T13:00:00,collected,,glassy tunicate,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:22,49.040699,-123.644925,Sebastes caurinus,1968-08-02T13:00:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:23,49.040699,-123.644925,Sebastes maliger,1968-08-02T13:00:00,,,quillback rockfish,,
