"","Taxon","Reported","Confirmed","New","Total","Prop.confirmed","Prop.new"
"1","BAC",0,0,4,4,NA,1
"2","PRO",4,3,25,32,0.428571428571429,0.78125
"3","FUN",254,149,79,482,0.369727047146402,0.163900414937759
"4","LIC",60,111,93,264,0.649122807017544,0.352272727272727
"5","ALG",68,36,123,227,0.346153846153846,0.541850220264317
"6","BRY",35,96,48,179,0.732824427480916,0.268156424581006
"7","VAS",135,462,155,752,0.773869346733668,0.206117021276596
"8","POR",34,5,1,40,0.128205128205128,0.025
"9","CNI",51,25,5,81,0.328947368421053,0.0617283950617284
"10","WOR",38,15,3,56,0.283018867924528,0.0535714285714286
"11","MOL",112,65,53,230,0.367231638418079,0.230434782608696
"12","ART",452,192,597,1241,0.298136645962733,0.481063658340048
"13","LOP",16,4,0,20,0.2,0
"14","ECH",22,18,1,41,0.45,0.024390243902439
"15","TUN",26,5,2,33,0.161290322580645,0.0606060606060606
"16","FIS",34,43,6,83,0.558441558441558,0.072289156626506
"17","HER",1,5,6,12,0.833333333333333,0.5
"18","BIR",48,133,5,186,0.734806629834254,0.0268817204301075
"19","MAM",6,14,22,42,0.7,0.523809523809524
"20","TOTAL",1396,1381,1228,4005,0.497299243788261,0.306616729088639
