regionField,id,label
BLM District Boundaries,1,Spokane District Office
BLM District Boundaries,2,Nw Oregon District Office
BLM District Boundaries,3,Prineville District Office
BLM District Boundaries,4,Lakeview District Office
BLM District Boundaries,5,Coos Bay District Office
BLM District Boundaries,6,Boise District Office
BLM District Boundaries,7,Northern California District
BLM District Boundaries,8,Roseburg District Office
BLM District Boundaries,9,Vale District Office
BLM District Boundaries,10,Medford District Office
BLM District Boundaries,11,Winnemucca District
BLM District Boundaries,12,Burns District Office
BLM Field Office Boundaries,1,Nw Oregon Tillamook Field Office
BLM Field Office Boundaries,2,Redding Field Office
BLM Field Office Boundaries,3,Vale Malheur Field Office
BLM Field Office Boundaries,4,Nw Oregon Marys Peak Field Office
BLM Field Office Boundaries,5,Medford Butte Falls Field Office
BLM Field Office Boundaries,6,Nw Oregon Upper Willamette Field Office
BLM Field Office Boundaries,7,Nw Oregon Cascades Field Office
BLM Field Office Boundaries,8,Coos Bay Myrtlewood Field Office
BLM Field Office Boundaries,9,Lakeview Klamath Falls Field Office
BLM Field Office Boundaries,10,Applegate Field Office
BLM Field Office Boundaries,11,Spokane Wenatchee Field Office
BLM Field Office Boundaries,12,Medford Ashland Field Office
BLM Field Office Boundaries,13,Burns Three Rivers Field Office
BLM Field Office Boundaries,14,Owyhee Field Office
BLM Field Office Boundaries,15,Prineville Deschutes Field Office
BLM Field Office Boundaries,16,Nw Oregon Siuslaw Field Office
BLM Field Office Boundaries,17,Four Rivers Field Office
BLM Field Office Boundaries,18,Medford Grants Pass Field Office
BLM Field Office Boundaries,19,Vale Baker Field Office
BLM Field Office Boundaries,20,Arcata Field Office
BLM Field Office Boundaries,21,Lakeview District Lakeview Field Offi
BLM Field Office Boundaries,22,Coos Bay Umpqua Field Office
BLM Field Office Boundaries,23,Burns Andrews Field Office
BLM Field Office Boundaries,24,Roseburg District South River Fo
BLM Field Office Boundaries,25,Roseburg District Swiftwater Fo
BLM Field Office Boundaries,26,Prineville Central Oregon Field Offic
BLM Field Office Boundaries,27,Humboldt River Field Office
BLM Field Office Boundaries,28,Spokane Border Field Office
US Ecoregions Level IV,1,1a. Coastal Lowlands
US Ecoregions Level IV,2,1f. Willapa Hills
US Ecoregions Level IV,3,1b. Coastal Uplands
US Ecoregions Level IV,4,1d. Volcanics
US Ecoregions Level IV,5,1g. Mid-Coastal Sedimentary
US Ecoregions Level IV,6,1h. Southern Oregon Coastal Mountains
US Ecoregions Level IV,7,2c. San Juan Islands
US Ecoregions Level IV,8,2d. Olympic Rainshadow
US Ecoregions Level IV,9,2g. Southern Puget Prairies
US Ecoregions Level IV,10,2h. Cowlitz/Chehalis Foothills
US Ecoregions Level IV,11,3a. Portland/Vancouver Basin
US Ecoregions Level IV,12,3b. Willamette River and Tributaries Gallery Forest
US Ecoregions Level IV,13,3c. Prairie Terraces
US Ecoregions Level IV,14,3d. Valley Foothills
